,GEO_LON,GEO_LAT,SERIOUSLY_INJURED,FATALITIES,INCIDENT_ID
40,-104.9034356,39.77842105,2.0,0.0,284
41,-104.994822,39.76838654,8.0,1.0,275
42,-104.86589070000001,39.77584469,9.0,0.0,270
43,-105.01394909999999,39.74032553,4.0,0.0,268
44,-104.94067140000001,39.77995174,1.0,0.0,267
45,-104.9971426,39.71119337,6.0,0.0,261
46,-105.01312720000001,39.72553610000001,13.0,2.0,251
47,-105.0124973,39.75529489,3.0,1.0,250
48,-104.9034331,39.77830024,7.0,2.0,248
49,-105.02513629999999,39.72559342,6.0,0.0,247
50,-105.0250953,39.71117229,5.0,1.0,246
51,-104.84701240000001,39.78238776,5.0,0.0,245
52,-104.98745359999998,39.70137828,3.0,0.0,243
53,-104.991877,39.69666182,3.0,0.0,239
54,-105.0150564,39.72932157,4.0,1.0,236
55,-104.986263,39.72564697,2.0,0.0,235
56,-104.95339340000001,39.7801213,5.0,0.0,232
57,-104.97916029999999,39.77967532,5.0,1.0,227
58,-105.0250608,39.68948427,8.0,0.0,226
59,-105.00642820000002,39.78326549,4.0,1.0,221
60,-105.02506140000001,39.69674561,5.0,2.0,220
61,-104.94066670000001,39.78008623,3.0,0.0,217
62,-105.01292120000001,39.75520331,7.0,0.0,216
63,-104.94058429999998,39.76187664,8.0,1.0,214
64,-104.88511340000001,39.63957572,6.0,0.0,211
65,-105.0000681,39.74010815,8.0,0.0,210
66,-105.01269599999999,39.75536709,0.0,0.0,209
67,-105.01271899999999,39.75512835,0.0,1.0,209
68,-104.94066540000001,39.74012903,5.0,2.0,208
69,-105.02505959999999,39.67863478,14.0,0.0,206
70,-104.99294669999999,39.69666094,7.0,1.0,205
71,-105.0052381,39.74015471,5.0,2.0,204
72,-104.9339801,39.678445700000005,1.0,0.0,203
73,-105.0001494,39.72570679,4.0,0.0,202
74,-105.0251367,39.72554127,11.0,0.0,202
75,-105.0532471,39.72733422,2.0,0.0,192
76,-104.90354609999999,39.69853383,4.0,2.0,189
77,-104.89352659999999,39.63574846,5.0,0.0,188
78,-105.0048512,39.75013759,9.0,0.0,185
79,-104.77212440000001,39.78369737,7.0,0.0,185
80,-105.01679299999999,39.75128532,3.0,1.0,184
81,-104.8338345,39.7728675,10.0,4.0,182
82,-104.77212220000001,39.79830213,13.0,1.0,180
83,-104.94054990000001,39.77287668,0.0,0.0,180
84,-104.98743629999998,39.72563837,2.0,0.0,177
85,-104.94050659999999,39.78008547,3.0,0.0,177
86,-105.02503859999999,39.682269500000004,6.0,0.0,174
87,-104.91286070000001,39.71129701,2.0,1.0,173
88,-105.01414820000001,39.74032909,5.0,0.0,171
89,-104.9256673,39.6674844,2.0,0.0,171
90,-105.0912449,39.61833504,4.0,2.0,169
91,-104.90357079999998,39.77842173,2.0,0.0,168
92,-104.9730966,39.74003165,6.0,0.0,168
93,-105.02515190000001,39.73800485,6.0,3.0,162
94,-104.8987608,39.65311241,5.0,0.0,160
95,-104.9861185,39.74488796,2.0,0.0,159
96,-104.94065420000001,39.74375274,5.0,2.0,155
97,-104.90213190000001,39.69809564,3.0,0.0,154
98,-104.99660279999999,39.70665858,2.0,0.0,154
99,-104.9034593,39.76142256,6.0,1.0,151
100,-105.01345690000001,39.72566649,2.0,0.0,151
101,-104.9873914,39.7400591,8.0,1.0,149
102,-105.02506470000002,39.6931081,8.0,1.0,148
103,-105.0024895,39.74765415,9.0,0.0,148
104,-104.89371709999999,39.6354749,3.0,0.0,147
105,-104.79047840000001,39.78363644,4.0,0.0,146
